IATA	Timezone	Airport Name	City
YQF	America/Edmonton	Red Deer Regional Airport	Red Deer
YQG	America/Toronto	Windsor Airport	Windsor
YQH	America/Whitehorse	Watson Lake Airport	Watson Lake
YQI	America/Halifax	Yarmouth Airport	Yarmouth
YQJ	America/Vancouver	April Point Seaplane Base	Quadra Island
YQK	America/Winnipeg	Kenora Airport	Kenora
YQL	America/Edmonton	Lethbridge County Airport	Lethbridge
YQM	America/Moncton	Greater Moncton Romeo LeBlanc International Airport	Moncton
YQN	America/Toronto	Nakina Airport	Nakina
YQQ	America/Vancouver	Comox Airport	Comox
YQR	America/Regina	Regina International Airport	Regina
YQS	America/Toronto	St Thomas Municipal Airport	St Thomas
YQT	America/Thunder_Bay	Thunder Bay Airport	Thunder Bay
YQU	America/Edmonton	Grande Prairie Airport	Grande Prairie
YQV	America/Regina	Yorkton Municipal Airport	Yorkton
YQW	America/Regina	North Battleford Airport	North Battleford
YQX	America/St_Johns	Gander International Airport	Gander
YQY	America/Glace_Bay	Sydney / J.A. Douglas McCurdy Airport	Sydney
YQZ	America/Vancouver	Quesnel Airport	Quesnel
YRA	America/Yellowknife	Rae Lakes Airport	Gameti
YRB	America/Resolute	Resolute Bay Airport	Resolute Bay
YRC	America/Vancouver	Refuge Cove Seaplane Base	Desolation Sound
YRD	America/Vancouver	Dean River Airport	Kimsquit Valley
YRF	America/Goose_Bay	Cartwright Airport	Cartwright
YRG	America/Goose_Bay	Rigolet Airport	Rigolet
YRI	America/Toronto	Riviere-du-Loup Airport	Riviere-du-Loup
YRJ	America/Toronto	Roberval Airport	Roberval
YRL	America/Winnipeg	Red Lake Airport	Red Lake
YRM	America/Edmonton	Rocky Mountain House Airport	Rocky Mountain House
YRN	America/Vancouver	Rivers Inlet Seaplane Base	Rivers Inlet
YRO	America/Toronto	Ottawa / Rockcliffe Airport	Ottawa
YRQ	America/Toronto	Trois-Rivieres Airport	Trois-Rivieres
YRR	America/Vancouver	Stuart Island Airstrip	Big Bay
YRS	America/Winnipeg	Red Sucker Lake Airport	Red Sucker Lake
YRT	America/Rankin_Inlet	Rankin Inlet Airport	Rankin Inlet
YRV	America/Vancouver	Revelstoke Airport	Revelstoke
YSA	America/Halifax	Sable Island Landing Strip	Sable Island
YSB	America/Toronto	Sudbury Airport	Sudbury
YSC	America/Toronto	Sherbrooke Airport	Sherbrooke
YSE	America/Vancouver	Squamish Airport	Squamish
YSF	America/Regina	Stony Rapids Airport	Stony Rapids
YSG	America/Yellowknife	Lutselk'e Airport	Lutselk'e
YSH	America/Toronto	Smiths Falls-Montague (Russ Beach) Airport	Smiths Falls
YSI	America/Toronto	Parry Sound/Frying Pan Island-Sans Souci Seaplane Base	Frying Pan Island
YSJ	America/Moncton	Saint John Airport	Saint John
YSK	America/Iqaluit	Sanikiluaq Airport	Sanikiluaq
YSL	America/Moncton	St Leonard Airport	St Leonard
YSM	America/Yellowknife	Fort Smith Airport	Fort Smith
YSN	America/Vancouver	Shuswap Regional Airport	Salmon Arm
YSO	America/Goose_Bay	Postville Airport	Postville
YSP	America/Toronto	Marathon Airport	Marathon
YSQ	Asia/Shanghai	Songyuan Chaganhu Airport	Qian Gorlos Mongol Autonomous County
YST	America/Winnipeg	St. Theresa Point Airport	St. Theresa Point
YSU	America/Halifax	Summerside Airport	Summerside
YSX	America/Vancouver	Bella Bella/Shearwater Seaplane Base	Bella Bella
YSY	America/Yellowknife	Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport	Sachs Harbour
YTA	America/Toronto	Pembroke Airport	Pembroke
YTB	America/Vancouver	Hartley Bay Seaplane Base	Hartley Bay
YTD	America/Winnipeg	Thicket Portage Airport	Thicket Portage
YTE	America/Iqaluit	Cape Dorset Airport	Cape Dorset
YTF	America/Toronto	Alma Airport	Alma
YTG	America/Vancouver	Sullivan Bay Seaplane Base	Sullivan Bay
YTH	America/Winnipeg	Thompson Airport	Thompson
