IATA	Timezone	Airport Name	City
AAA	Pacific/Tahiti	Anaa Airport	
AAB	Australia/Brisbane	Arrabury Airport	
AAC	Africa/Cairo	El Arish International Airport	El Arish
AAD	Africa/Mogadishu	Adado Airport	Adado
AAE	Africa/Algiers	Rabah Bitat Airport	Annaba
AAF	America/New_York	Apalachicola Regional Airport	Apalachicola
AAG	America/Sao_Paulo	Avelino Vieira Airport	Arapoti
AAH	Europe/Berlin	Aachen-Merzbruck Airport	Aachen
AAI	America/Araguaina	Arraias Airport	Arraias
AAJ	America/Paramaribo	Cayana Airstrip	Awaradam
AAK	Pacific/Tarawa	Aranuka Airport	Buariki
AAL	Europe/Copenhagen	Aalborg Airport	Aalborg
AAM	Africa/Johannesburg	Malamala Airport	Malamala
AAN	Asia/Dubai	Al Ain International Airport	Al Ain
AAO	America/Caracas	Anaco Airport	Anaco
AAP	Asia/Makassar	Aji Pangeran Tumenggung Pranoto International Airport	Samarinda
AAQ	Europe/Moscow	Anapa Vityazevo Airport	Anapa
AAR	Europe/Copenhagen	Aarhus Airport	Aarhus
AAS	Asia/Jayapura	Apalapsili Airport	Apalapsili
AAT	Asia/Urumqi	Altay Air Base	Altay
AAU	Pacific/Apia	Asau Airport	Asau
AAV	Asia/Manila	Allah Valley Airport	Surallah
AAX	America/Sao_Paulo	Romeu Zema Airport	Araxa
AAY	Asia/Aden	Al Ghaidah International Airport	
AAZ	America/Guatemala	Quezaltenango Airport	Quezaltenango
ABA	Asia/Krasnoyarsk	Abakan Airport	Abakan
ABB	Africa/Lagos	Asaba International Airport	Asaba
ABC	Europe/Madrid	Albacete-Los Llanos Airport	Albacete
ABD	Asia/Tehran	Abadan Airport	Abadan
ABE	America/New_York	Lehigh Valley International Airport	Allentown
ABF	Pacific/Tarawa	Abaiang Airport	Abaiang
ABG	Australia/Brisbane	Abingdon Downs Airport	
ABH	Australia/Brisbane	Alpha Airport	Alpha
ABI	America/Chicago	Abilene Regional Airport	Abilene
ABJ	Africa/Abidjan	Port Bouet Airport	Abidjan
ABK	Africa/Addis_Ababa	Kabri Dehar Airport	Kabri Dehar
ABL	America/Anchorage	Ambler Airport	Ambler
ABM	Australia/Brisbane	Northern Peninsula Airport	Bamaga
ABN	America/Paramaribo	Albina Airport	Albina
ABO	Africa/Abidjan	Aboisso Airport	Aboisso
ABP	Pacific/Port_Moresby	Atkamba Airport	Atkamba Mission
ABQ	America/Denver	Albuquerque International Sunport	Albuquerque
ABR	America/Chicago	Aberdeen Regional Airport	Aberdeen
ABS	Africa/Cairo	Abu Simbel Airport	Abu Simbel
ABT	Asia/Riyadh	Al Baha Airport	
ABU	Asia/Makassar	Haliwen Airport	Atambua-Timor Island
ABV	Africa/Lagos	Nnamdi Azikiwe International Airport	Abuja
ABW	Pacific/Port_Moresby	Abau Airport	Abau
ABX	Australia/Sydney	Albury Airport	Albury
ABY	America/New_York	Southwest Georgia Regional Airport	Albany
ABZ	Europe/London	Aberdeen Dyce Airport	Aberdeen
ACA	America/Mexico_City	General Juan N Alvarez International Airport	Acapulco
ACB	America/Detroit	Antrim County Airport	Bellaire
ACC	Africa/Accra	Kotoka International Airport	Accra
ACD	America/Bogota	Alcides Fernandez Airport	Acandi
ACE	Atlantic/Canary	Lanzarote Airport	Lanzarote Island
ACH	Europe/Zurich	St Gallen Altenrhein Airport	Altenrhein
ACI	Europe/Guernsey	Alderney Airport	Saint Anne
ACJ	Asia/Colombo	Anuradhapura Air Force Base	Anuradhapura
ACK	America/New_York	Nantucket Memorial Airport	Nantucket
ACL	America/Bogota	Aguaclara Airport	Aguaclara
ACM	America/Bogota	Arica Airport	Arica
ACN	America/Matamoros	Ciudad Acuna New International Airport	Ciudad Acuna
ACP	Asia/Tehran	Sahand Airport	Maragheh
ACR	America/Bogota	Araracuara Airport	Araracuara
ACS	Asia/Krasnoyarsk	Achinsk Airport	Achinsk
ACT	America/Chicago	Waco Regional Airport	Waco
ACU	America/Panama	Achutupo Airport	Achutupo
ACV	America/Los_Angeles	California Redwood Coast-Humboldt County Airport	Arcata/Eureka
ACX	Asia/Shanghai	Xingyi Airport	Xingyi
ACY	America/New_York	Atlantic City International Airport	Atlantic City
ACZ	Asia/Tehran	Zabol Airport	
ADA	Europe/Istanbul	Adana Airport	Adana
ADB	Europe/Istanbul	Adnan Menderes International Airport	Izmir
ADC	Pacific/Port_Moresby	Andakombe Airport	Andekombe
ADD	Africa/Addis_Ababa	Addis Ababa Bole International Airport	Addis Ababa
ADE	Asia/Aden	Aden International Airport	Aden
ADF	Europe/Istanbul	Adiyaman Airport	Adiyaman
ADG	America/Detroit	Lenawee County Airport	Adrian
ADH	Asia/Yakutsk	Aldan Airport	Aldan
ADI	Africa/Windhoek	Arandis Airport	Arandis
ADJ	Asia/Amman	Amman-Marka International Airport	Amman
ADK	America/Adak	Adak Airport	Adak Island
ADL	Australia/Adelaide	Adelaide International Airport	Adelaide
ADM	America/Chicago	Ardmore Municipal Airport	Ardmore
ADN	America/Bogota	Andes Airport	Andes
ADO	Australia/Adelaide	Andamooka Airport	
ADP	Asia/Colombo	Ampara Airport	Ampara
ADQ	America/Anchorage	Kodiak Airport	Kodiak
ADR	America/New_York	Robert F Swinnie Airport	Andrews
ADS	America/Chicago	Addison Airport	Dallas
ADT	America/Chicago	Ada Regional Airport	Ada
ADU	Asia/Tehran	Ardabil Airport	Ardabil
ADV	Africa/Khartoum	El Daein Airport	El Daein
ADW	America/New_York	Joint Base Andrews	Camp Springs
ADX	Europe/London	RAF Leuchars	St. Andrews
ADY	Africa/Johannesburg	Alldays Airport	Alldays
ADZ	America/Bogota	Gustavo Rojas Pinilla International Airport	San Andres
AEA	Pacific/Tarawa	Abemama Atoll Airport	Abemama Atoll
AEB	Asia/Shanghai	Baise Youjiang Airport	Baise
AEE	Africa/Juba	Adareil Airport	
AEG	Asia/Jakarta	Aek Godang Airport	Padang Sidempuan-Sumatra Island
AEH	Africa/Ndjamena	Abeche Airport	
AEK	Pacific/Port_Moresby	Aseki Airport	Aseki
AEL	America/Chicago	Albert Lea Municipal Airport	Albert Lea
AEM	Asia/Vladivostok	Amgu Airport	Amgu
AEO	Africa/Nouakchott	Aioun el Atrouss Airport	Aioun El Atrouss
AEP	America/Argentina/Buenos_Aires	Jorge Newbery Airpark	Buenos Aires
AEQ	Asia/Shanghai	Ar Horqin Airport	Chifeng
AER	Europe/Moscow	Sochi International Airport	Sochi
AES	Europe/Oslo	Alesund Airport	Alesund
AET	America/Anchorage	Allakaket Airport	Allakaket
AEU	Asia/Tehran	Abu Musa Island Airport	Abu Musa
AEX	America/Chicago	Alexandria International Airport	Alexandria
AEY	Atlantic/Reykjavik	Akureyri Airport	Akureyri
AFA	America/Argentina/Mendoza	Suboficial Ay Santiago Germano Airport	San Rafael
AFD	Africa/Johannesburg	Port Alfred Airport	Port Alfred
AFF	America/Denver	USAF Academy Airfield	Colorado Springs
AFI	America/Bogota	Amalfi Airport	Amalfi
AFK	Asia/Colombo	Kondavattavana Tank Seaplane Base	Ampara
AFL	America/Cuiaba	Piloto Osvaldo Marques Dias Airport	Alta Floresta
AFN	America/New_York	Jaffrey Airport Silver Ranch Airport	Jaffrey
AFO	America/Denver	Afton Municipal Airport	Afton
AFR	Pacific/Port_Moresby	Afore Airstrip	
AFS	Asia/Samarkand	Sugraly Airport	Zarafshan
AFT	Pacific/Guadalcanal	Afutara Aerodrome	Bila
AFW	America/Chicago	Fort Worth Alliance Airport	Fort Worth
AFY	Europe/Istanbul	Afyon Airport	Afyonkarahisar
AFZ	Asia/Tehran	Sabzevar National Airport	Sabzevar
AGA	Africa/Casablanca	Al Massira Airport	Agadir
AGB	Europe/Berlin	Augsburg Airport	Augsburg
AGC	America/New_York	Allegheny County Airport	Pittsburgh
AGD	Asia/Jayapura	Anggi Airport	Anggi-Papua Island
AGE	Europe/Berlin	Wangerooge Airport	Wangerooge
AGF	Europe/Paris	Agen-La Garenne Airport	Agen/La Garenne
AGG	Pacific/Port_Moresby	Angoram Airport	Angoram
AGH	Europe/Stockholm	Angelholm-Helsingborg Airport	Angelholm
AGI	America/Paramaribo	Wageningen Airstrip	Wageningen
AGJ	Asia/Tokyo	Aguni Airport	Aguni
AGK	Pacific/Port_Moresby	Kagua Airport	Kagua
AGL	Pacific/Port_Moresby	Wanigela Airport	
AGN	America/Juneau	Angoon Seaplane Base	Angoon
AGO	America/Chicago	Ralph C Weiser Field	Magnolia
AGP	Europe/Madrid	Malaga Airport	Malaga
AGQ	Europe/Athens	Agrinion Air Base	Agrinion
AGR	Asia/Kolkata	Agra Airport	
AGS	America/New_York	Augusta Regional At Bush Field	Augusta
AGT	America/Asuncion	Guarani International Airport	Ciudad del Este
AGU	America/Mexico_City	Jesus Teran Paredo International Airport	Aguascalientes
AGV	America/Caracas	Oswaldo Guevara Mujica Airport	Acarigua
AGW	Australia/Brisbane	Agnew Airport	Agnew
AGX	Asia/Kolkata	Agatti Airport	
AGZ	Africa/Johannesburg	Aggeneys Airport	Aggeneys
AHB	Asia/Riyadh	Abha Regional Airport	Abha
AHC	America/Los_Angeles	Amedee Army Air Field	Herlong
AHD	America/Chicago	Ardmore Downtown Executive Airport	Ardmore
AHE	Pacific/Tahiti	Ahe Airport	Ahe Atoll
AHF	America/Chicago	Arapahoe Municipal Airport	Arapahoe
AHH	America/Chicago	Amery Municipal Airport	Amery
AHI	Asia/Jayapura	Amahai Airport	Amahai-Seram Island
AHJ	Asia/Shanghai	Hongyuan Airport	Aba
AHL	America/Guyana	Aishalton Airport	Aishalton
AHM	America/Los_Angeles	Ashland Municipal Sumner Parker Field	Ashland
AHN	America/New_York	Athens Ben Epps Airport	Athens
AHO	Europe/Rome	Alghero-Fertilia Airport	Alghero
AHS	America/Tegucigalpa	Ahuas Airport	Ahuas
AHU	Africa/Casablanca	Cherif Al Idrissi Airport	Al Hoceima
AHY	Indian/Antananarivo	Ambatolhy Airport	Ambatolahy
AHZ	Europe/Paris	Altiport L'Alpe d'Huez - Henri GIRAUD	L'Alpe d'Huez
AIA	America/Denver	Alliance Municipal Airport	Alliance
AIC	Pacific/Kwajalein	Ailinglaplap Airok Airport	Bigatyelang Island
AID	America/Indiana/Indianapolis	Anderson Municipal Darlington Field	Anderson
AIE	Pacific/Port_Moresby	Aiome Airport	Aiome
AIF	America/Sao_Paulo	Marcelo Pires Halzhausen Airport	Assis
AIG	Africa/Bangui	Yalinga Airport	Yalinga
AIH	Pacific/Port_Moresby	Aiambak Airport	Aiambak
AII	Africa/Djibouti	Ali-Sabieh Airport	Ali-Sabieh
AIK	America/New_York	Aiken Regional Airport	Aiken
AIL	America/Panama	Alligandi Airport	Alligandi
AIM	Pacific/Kwajalein	Ailuk Airport	Ailuk Island
AIN	America/Anchorage	Wainwright Airport	Wainwright
AIO	America/Chicago	Atlantic Municipal Airport	Atlantic
AIP	Asia/Kolkata	Adampur Airport	Adampur
AIR	America/Cuiaba	Aripuana Airport	Aripuana
AIS	Pacific/Tarawa	Arorae Island Airport	Arorae Island
AIT	Pacific/Rarotonga	Aitutaki Airport	Aitutaki
AIU	Pacific/Rarotonga	Enua Airport	Atiu Island
AIV	America/Chicago	George Downer Airport	Aliceville
AIW	Africa/Windhoek	Ai-Ais Airport	Ai-Ais
AIZ	America/Chicago	Lee C Fine Memorial Airport	Kaiser Lake Ozark
AJA	Europe/Paris	Ajaccio-Napoleon Bonaparte Airport	Ajaccio/Napoleon Bonaparte
AJF	Asia/Riyadh	Al-Jawf Domestic Airport	Al-Jawf
AJI	Europe/Istanbul	Agri Airport	
AJJ	Africa/Nouakchott	Akjoujt Airport	Akjoujt
AJK	Asia/Tehran	Arak Airport	Araak
AJL	Asia/Kolkata	Lengpui Airport	Aizawl
AJN	Indian/Comoro	Ouani Airport	Ouani
AJR	Europe/Stockholm	Arvidsjaur Airport	Arvidsjaur
AJS	America/Hermosillo	Abreojos Airport	Abreojos
AJU	America/Noronha	Santa Maria Airport	Aracaju
AJY	Africa/Niamey	Mano Dayak International Airport	Agadez
AKA	Asia/Shanghai	Ankang Wulipu Airport	Ankang
AKB	America/Adak	Atka Airport	Atka
AKC	America/New_York	Akron Fulton International Airport	Akron
AKD	Asia/Kolkata	Akola Airport	Akola
AKE	Africa/Libreville	Akieni Airport	Akieni
AKF	Africa/Tripoli	Kufra Airport	Kufra
AKG	Pacific/Port_Moresby	Anguganak Airport	Anguganak
AKH	Asia/Riyadh	Prince Sultan Air Base	
AKI	America/Anchorage	Akiak Airport	Akiak
AKJ	Asia/Tokyo	Asahikawa Airport	Asahikawa / Hokkaido
AKK	America/Anchorage	Akhiok Airport	Akhiok
AKL	Pacific/Auckland	Auckland International Airport	Auckland
AKM	Africa/Ndjamena	Zakuoma Airport	ZaKouma
AKN	America/Anchorage	King Salmon Airport	King Salmon
AKO	America/Denver	Colorado Plains Regional Airport	Akron
AKP	America/Anchorage	Anaktuvuk Pass Airport	Anaktuvuk Pass
AKQ	Asia/Jakarta	Gunung Batin Airport	Astraksetra-Sumatra Island
AKR	Africa/Lagos	Akure Airport	Akure
AKS	Pacific/Guadalcanal	Gwaunaru'u Airport	Auki
AKT	Asia/Nicosia	RAF Akrotiri	Akrotiri
AKU	Asia/Shanghai	Aksu Airport	Aksu
AKV	America/Toronto	Akulivik Airport	Akulivik
AKW	Asia/Tehran	Aghajari Airport	Aghajari
AKX	Asia/Aqtobe	Aktobe Airport	Aktyubinsk
AKY	Asia/Yangon	Sittwe Airport	Sittwe
ALA	Asia/Almaty	Almaty Airport	Almaty
ALB	America/New_York	Albany International Airport	Albany
ALC	Europe/Madrid	Alicante International Airport	Alicante
ALD	America/Lima	Alerta Airport	Fortaleza
ALE	America/Chicago	Alpine Casparis Municipal Airport	Alpine
ALF	Europe/Oslo	Alta Airport	Alta
ALG	Africa/Algiers	Houari Boumediene Airport	Algiers
ALH	Australia/Perth	Albany Airport	Albany
ALI	America/Chicago	Alice International Airport	Alice
ALJ	Africa/Johannesburg	Alexander Bay Airport	Alexander Bay
ALL	Europe/Rome	Villanova D'Albenga International Airport	Albenga (SV)
ALM	America/Denver	Alamogordo White Sands Regional Airport	Alamogordo
ALN	America/Chicago	St Louis Regional Airport	Alton/St Louis
ALO	America/Chicago	Waterloo Regional Airport	Waterloo
ALP	Asia/Damascus	Aleppo International Airport	Aleppo
ALQ	America/Sao_Paulo	Alegrete Novo Airport	Alegrete
ALR	Pacific/Auckland	Alexandra Airport	Alexandra
ALS	America/Denver	San Luis Valley Regional Bergman Field	Alamosa
ALT	America/Santarem	Alenquer Airport	Alenquer
ALU	Africa/Mogadishu	Alula Airport	Alula
ALW	America/Los_Angeles	Walla Walla Regional Airport	Walla Walla
ALX	America/Chicago	Thomas C Russell Field	Alexander City
ALY	Africa/Cairo	El Nouzha Airport	Alexandria
ALZ	America/Anchorage	Alitak Seaplane Base	Lazy Bay
AMA	America/Chicago	Rick Husband Amarillo International Airport	Amarillo
AMB	Indian/Antananarivo	Ambilobe Airport	
AMC	Africa/Ndjamena	Am Timan Airport	Am Timan
AMD	Asia/Kolkata	Sardar Vallabhbhai Patel International Airport	Ahmedabad
AME	Africa/Maputo	Alto Molocue Airport	Alto Molocue
AMF	Pacific/Port_Moresby	Ama Airport	
AMH	Africa/Addis_Ababa	Arba Minch Airport	
AMI	Asia/Makassar	Selaparang Airport	Mataram-Lombok Island
AMJ	America/Sao_Paulo	Cirilo Queiroz Airport	Almenara
AMK	America/Denver	Animas Air Park	Durango
AML	America/Panama	Puerto Armuelles Airport	Puerto Armuelles
AMM	Asia/Amman	Queen Alia International Airport	Amman
AMN	America/Detroit	Gratiot Community Airport	Alma
AMO	Africa/Ndjamena	Mao Airport	Mao
AMP	Indian/Antananarivo	Ampanihy Airport	Ampanihy
AMS	Europe/Amsterdam	Amsterdam Airport Schiphol	Amsterdam
AMT	Australia/Adelaide	Amata Airport	
AMU	Pacific/Port_Moresby	Amanab Airport	Amanab
AMV	Europe/Moscow	Amderma Airport	Amderma
AMW	America/Chicago	Ames Municipal Airport	Ames
AMX	Australia/Darwin	Ammaroo Airport	
AMY	Indian/Antananarivo	Ambatomainty Airport	
AMZ	Pacific/Auckland	Ardmore Airport	Manurewa
ANA	Africa/Nairobi	Angama Airport	Maasai Mara
ANB	America/Chicago	Anniston Regional Airport	Anniston
ANC	America/Anchorage	Ted Stevens Anchorage International Airport	Anchorage
AND	America/New_York	Anderson Regional Airport	Anderson
ANE	Europe/Paris	Angers-Loire Airport	Angers/Marce
ANF	America/Santiago	Andres Sabella Galvez International Airport	Antofagasta
ANG	Europe/Paris	Angouleme-Brie-Champniers Airport	Angouleme/Brie/Champniers
ANI	America/Anchorage	Aniak Airport	Aniak
ANJ	Africa/Brazzaville	Zanaga Airport	Zanaga
ANK	Europe/Istanbul	Etimesgut Air Base	Ankara
ANL	Africa/Luanda	Andulo Airport	
ANM	Indian/Antananarivo	Antsirabato Airport	
ANN	America/Metlakatla	Annette Island Airport	Annette
ANO	Africa/Maputo	Angoche Airport	Angoche
ANP	America/New_York	Lee Airport	Annapolis
ANQ	America/Indiana/Indianapolis	Tri State Steuben County Airport	Angola
ANR	Europe/Brussels	Antwerp International Airport (Deurne)	Antwerp
ANS	America/Lima	Andahuaylas Airport	Andahuaylas
ANU	America/Antigua	V.C. Bird International Airport	St. John's
ANV	America/Anchorage	Anvik Airport	Anvik
ANW	America/Chicago	Ainsworth Regional Airport	Ainsworth
ANX	Europe/Oslo	Andoya Airport	Andenes
ANY	America/Chicago	Anthony Municipal Airport	Anthony
ANZ	Australia/Darwin	Angus Downs Airport	Angus Downs Station
AOA	Pacific/Port_Moresby	Aroa Airport	Agevairu
AOB	Pacific/Port_Moresby	Annanberg Airport	
AOC	Europe/Berlin	Altenburg-Nobitz Airport	Altenburg
AOD	Africa/Ndjamena	Abou-Deia Airport	Abou-Deia
AOE	Europe/Istanbul	Anadolu Airport	Eskisehir
AOG	Asia/Shanghai	Anshan Air Base	Anshan
AOH	America/New_York	Lima Allen County Airport	Lima
AOI	Europe/Rome	Ancona Falconara Airport	Ancona
AOJ	Asia/Tokyo	Aomori Airport	Aomori
AOK	Europe/Athens	Karpathos Airport	Karpathos Island
AOL	America/Argentina/Cordoba	Paso De Los Libres Airport	Paso de los Libres
AOM	Asia/Muscat	Adam Airport	Adam
AOO	America/New_York	Altoona Blair County Airport	Altoona
AOP	America/Lima	Alferez FAP Alfredo Vladimir Sara Bauer Airport	Andoas
AOR	Asia/Kuala_Lumpur	Sultan Abdul Halim Airport	Alor Satar
AOS	America/Anchorage	Amook Bay Seaplane Base	Amook Bay
AOT	Europe/Rome	Aosta Airport	Aosta
AOU	Asia/Vientiane	Attopeu Airport	Attopeu
APA	America/Denver	Centennial Airport	Denver
APB	America/La_Paz	Apolo Airport	Apolo
APC	America/Los_Angeles	Napa County Airport	Napa
APF	America/New_York	Naples Municipal Airport	Naples
APG	America/New_York	Phillips Army Air Field	Aberdeen Proving Grounds(Aberdeen)
APH	America/New_York	A P Hill AAF (Fort A P Hill) Airport	Fort A. P. Hill
API	America/Bogota	Gomez Nino Apiay Air Base	Apiay
APK	Pacific/Tahiti	Apataki Airport	Apataki
APL	Africa/Maputo	Nampula Airport	Nampula
APN	America/Detroit	Alpena County Regional Airport	Alpena
APO	America/Bogota	Antonio Roldan Betancourt Airport	Carepa
APP	Pacific/Port_Moresby	Asapa Airport	
APQ	America/Maceio	Arapiraca Airport	Arapiraca
APR	Pacific/Port_Moresby	April River Airport	April River
APS	America/Sao_Paulo	Anapolis Airport	Anapolis
APT	America/Chicago	Marion County Brown Field	Jasper
APU	America/Sao_Paulo	Captain Joao Busse Airport	Apucarana
APV	America/Los_Angeles	Apple Valley Airport	Apple Valley
APW	Pacific/Apia	Faleolo International Airport	Apia
APX	America/Sao_Paulo	Arapongas Airport	Arapongas
APY	America/Fortaleza	Alto Parnaiba Airport	Alto Parnaiba
APZ	America/Argentina/Salta	Zapala Airport	Zapala
AQA	America/Sao_Paulo	Araraquara Airport	Araraquara
AQB	America/Guatemala	Santa Cruz del Quiche Airport	Santa Cruz del Quiche
AQG	Asia/Shanghai	Anqing Tianzhushan Airport	Anqing
AQI	Asia/Riyadh	Al Qaisumah/Hafr Al Batin Airport	Qaisumah
AQJ	Asia/Amman	Aqaba King Hussein International Airport	Aqaba
AQM	America/Porto_Velho	Nova Vida Airport	Ariquemes
AQP	America/Lima	Rodriguez Ballon International Airport	Arequipa
AQY	America/Anchorage	Girdwood Airport	Girdwood
ARA	America/Chicago	Acadiana Regional Airport	New Iberia
ARB	America/Detroit	Ann Arbor Municipal Airport	Ann Arbor
ARC	America/Anchorage	Arctic Village Airport	Arctic Village
ARD	Asia/Makassar	Mali Airport	Alor Island
ARE	America/Puerto_Rico	Antonio Nery Juarbe Pol Airport	Arecibo
ARF	America/Bogota	Acaricuara Airport	Acaricuara
ARG	America/Chicago	Walnut Ridge Regional Airport	Walnut Ridge
ARH	Europe/Moscow	Talagi Airport	Archangelsk
ARI	America/Santiago	Chacalluta Airport	Arica
ARJ	Asia/Jayapura	Arso Airport	Arso-Papua Island
ARK	Africa/Dar_es_Salaam	Arusha Airport	Arusha
ARL	Africa/Ouagadougou	Arly Airport	Arly
ARM	Australia/Sydney	Armidale Airport	Armidale
ARN	Europe/Stockholm	Stockholm-Arlanda Airport	Stockholm
ARO	America/Bogota	Arboletes Airport	Arboletes
ARP	Pacific/Port_Moresby	Aragip Airport	
ARQ	America/Bogota	El Troncal Airport	Arauquita
ARR	America/Argentina/Catamarca	D. Casimiro Szlapelis Airport	Alto Rio Senguerr
ARS	America/Sao_Paulo	Aragarcas Airport	Aragarcas
ART	America/New_York	Watertown International Airport	Watertown
ARU	America/Sao_Paulo	Aracatuba Airport	Aracatuba
ARV	America/Chicago	Lakeland-Noble F. Lee Memorial field	Minocqua-Woodruff
ARW	Europe/Bucharest	Arad International Airport	Arad
ARX	America/Fortaleza	Asbury Park Neptune Air Terminal	Asbury Park
ARY	Australia/Melbourne	Ararat Airport	
ARZ	Africa/Luanda	N'zeto Airport	N'zeto
ASA	Africa/Asmara	Assab International Airport	Asab
ASB	Asia/Ashgabat	Ashgabat International Airport	Ashgabat
ASC	America/La_Paz	Ascencion De Guarayos Airport	Ascension de Guarayos
ASD	America/Nassau	Andros Town Airport	
ASE	America/Denver	Aspen-Pitkin Co/Sardy Field	Aspen
ASF	Europe/Astrakhan	Astrakhan Airport	Astrakhan
ASG	Pacific/Auckland	Ashburton Aerodrome	
ASH	America/New_York	Boire Field	Nashua
ASI	Atlantic/St_Helena	RAF Ascension Island	Ascension Island
ASJ	Asia/Tokyo	Amami Airport	Amami
ASK	Africa/Abidjan	Yamoussoukro Airport	Yamoussoukro
ASL	America/Chicago	Harrison County Airport	Marshall
ASM	Africa/Asmara	Asmara International Airport	Asmara
ASN	America/Chicago	Talladega Municipal Airport	Talladega
ASO	Africa/Addis_Ababa	Asosa Airport	Asosa
ASP	Australia/Darwin	Alice Springs Airport	Alice Springs
ASQ	America/Los_Angeles	Austin Airport	Austin
ASR	Europe/Istanbul	Kayseri Erkilet Airport	Kayseri
ASS	Africa/Johannesburg	Arathusa Safari Lodge Airport	Arathusa
AST	America/Los_Angeles	Astoria Regional Airport	Astoria
ASU	America/Asuncion	Silvio Pettirossi International Airport	Asuncion
ASV	Africa/Nairobi	Amboseli Airport	Amboseli National Park
ASW	Africa/Cairo	Aswan International Airport	Aswan
ASX	America/Chicago	John F Kennedy Memorial Airport	Ashland
ASY	America/Chicago	Ashley Municipal Airport	Ashley
ASZ	Pacific/Port_Moresby	Asirim Airport	
ATA	America/Lima	Comandante FAP German Arias Graziani Airport	Anta
ATB	Africa/Khartoum	Atbara Airport	Atbara
ATC	America/Nassau	Arthur's Town Airport	Arthur's Town
ATD	Pacific/Guadalcanal	Uru Harbour Airport	Atoifi
ATE	America/Chicago	Antlers Municipal Airport	Antlers
ATF	America/Guayaquil	Chachoan Airport	Ambato
ATG	Asia/Karachi	Minhas Air Base	Kamra
ATH	Europe/Athens	Eleftherios Venizelos International Airport	Athens
ATI	America/Montevideo	Artigas International Airport	Artigas
ATJ	Indian/Antananarivo	Antsirabe Airport	Antsirabe
ATK	America/Anchorage	Atqasuk Edward Burnell Sr Memorial Airport	Atqasuk
ATL	America/New_York	Hartsfield Jackson Atlanta International Airport	Atlanta
ATM	America/Manaus	Altamira Airport	Altamira
ATN	Pacific/Port_Moresby	Namatanai Airport	Namatanai
ATO	America/New_York	Ohio University Snyder Field	Athens/Albany
ATP	Pacific/Port_Moresby	Aitape Airport	Aitape
ATQ	Asia/Kolkata	Sri Guru Ram Dass Jee International Airport	Amritsar
ATR	Africa/Nouakchott	Atar International Airport	Atar
ATS	America/Denver	Artesia Municipal Airport	Artesia
ATT	America/Nome	Atmautluak Airport	Atmautluak
ATU	America/Adak	Casco Cove Coast Guard Station	Attu
ATV	Africa/Ndjamena	Ati Airport	Ati
ATW	America/Chicago	Appleton International Airport	Appleton
ATX	Asia/Almaty	Atbasar Airport	Atbasar
ATY	America/Chicago	Watertown Regional Airport	Watertown
ATZ	Africa/Cairo	Assiut International Airport	Assiut
AUA	America/Aruba	Queen Beatrix International Airport	Oranjestad
AUC	America/Bogota	Santiago Perez Airport	Arauca
AUD	Australia/Brisbane	Augustus Downs Airport	
AUE	Africa/Cairo	Abu Rudeis Airport	Abu Rudeis
AUF	Europe/Paris	Auxerre-Branches Airport	Auxerre/Branches
AUG	America/New_York	Augusta State Airport	Augusta
AUH	Asia/Dubai	Abu Dhabi International Airport	Abu Dhabi
AUI	Pacific/Port_Moresby	Aua Island Airport	Aua Island
AUJ	Pacific/Port_Moresby	Ambunti Airport	Ambunti
AUK	America/Nome	Alakanuk Airport	Alakanuk
AUL	Pacific/Majuro	Aur Island Airport	Aur Atoll
AUM	America/Chicago	Austin Municipal Airport	Austin
AUN	America/Los_Angeles	Auburn Municipal Airport	Auburn
AUO	America/Chicago	Auburn University Regional Airport	Auburn
AUP	Pacific/Port_Moresby	Agaun Airport	
AUQ	Pacific/Marquesas	Hiva Oa-Atuona Airport	Hiva Oa Island
AUR	Europe/Paris	Aurillac Airport	Aurillac
AUS	America/Chicago	Austin Bergstrom International Airport	Austin
AUT	Asia/Dili	Atauro Airport	Atauro
AUU	Australia/Brisbane	Aurukun Airport	Aurukun
AUV	Pacific/Port_Moresby	Aumo Airport	Aumo
AUW	America/Chicago	Wausau Downtown Airport	Wausau
AUX	America/Araguaina	Araguaina Airport	Araguaina
AUY	Pacific/Efate	Aneityum Airport	Anatom Island
AUZ	America/Chicago	Aurora Municipal Airport	Chicago/Aurora
AVA	Asia/Shanghai	Anshun Huangguoshu Airport	Anshun
AVB	Europe/Rome	Aviano Air Base	Aviano (PN)
AVG	Australia/Darwin	Auvergne Airport	
AVI	America/Havana	Maximo Gomez Airport	Ciego de Avila
AVK	Asia/Ulaanbaatar	Arvaikheer Airport	Arvaikheer
AVL	America/New_York	Asheville Regional Airport	Asheville
AVN	Europe/Paris	Avignon-Caumont Airport	Avignon/Caumont
AVO	America/New_York	Avon Park Executive Airport	Avon Park
AVP	America/New_York	Wilkes Barre Scranton International Airport	Wilkes-Barre/Scranton
AVR	Europe/Lisbon	Alverca Air Base	Vila Franca de Xira
AVU	Pacific/Guadalcanal	Avu Avu Airport	
AVV	Australia/Melbourne	Avalon Airport	Melbourne
AVW	America/Phoenix	Marana Regional Airport	Tucson
AVX	America/Los_Angeles	Catalina Airport	Avalon
AWA	Africa/Addis_Ababa	Awassa Airport	Awassa
AWB	Pacific/Port_Moresby	Awaba Airport	Awaba
AWD	Pacific/Efate	Aniwa Airport	Aniwa
AWE	Africa/Libreville	Alowe Airport	Wonga Wongue Presidential Reserve
